true,measurement,estimate
1.215356,1.781997,1.853318
1.860175,0.039224,1.323342
2.239969,3.273982,3.553265
2.662297,1.071603,2.627880
4.406021,3.832307,3.527872
5.464849,6.976083,5.497539
6.411537,6.873217,5.989521
7.760446,12.464783,10.094707
9.352121,10.116438,10.892551
10.060448,13.616126,13.417983
10.706004,10.331426,11.959838
11.811075,11.890898,12.472513
11.814562,13.511134,13.647207
12.872829,11.940218,13.079616
13.774988,10.829939,12.549287
14.568174,11.483841,12.242065
15.989110,15.491567,14.495978
17.116666,17.898104,16.468109
17.368329,19.102823,18.210922
18.367807,19.300289,18.915160
19.086533,16.858239,17.972333
20.213059,19.769001,19.910927
21.638561,23.147459,22.348827
22.911582,26.480120,25.176075
24.349220,24.993378,25.905231
25.061389,25.615518,26.830241
25.698010,26.071259,27.462937
26.055681,23.521314,26.416297
26.478730,25.014910,26.129082
27.618960,30.790329,29.186621
28.187273,32.933042,30.967663
29.320239,30.549252,31.386510
30.606686,32.734674,32.877513
31.445224,29.939331,31.716286
33.227378,33.608300,32.898187
34.122218,35.309679,34.191970
35.605366,34.414050,34.173345
36.385245,37.839219,36.628948
37.036470,35.021547,35.303659
38.625287,39.022328,38.269861
39.488940,39.874472,39.209038
40.569488,44.711867,43.401867
41.529827,43.054991,44.018615
42.557459,44.638269,45.413884
43.192796,42.431917,44.454686
44.179181,45.746709,45.526169
45.265490,47.222387,46.824399
46.990145,48.574379,48.089251
47.640281,44.267945,45.959238
49.253320,48.954311,47.667867
